CustomerID,InvoiceNo,Quantity,UnitPrice,Country,InvoiceDate,StockCode,Description,Category,Product,Sales,Revenue,DiscountPct,Cost,Profit,Region,PaymentMethod,OrderStatus,CustomerType,SalesChannel,QuantityUnit
44440,536365,3.0,51.02,France,2025-06-08,84448,Desk,Grocery,Desk,153.06,153.06,20.44,109.58,53.82,East,Bank Transfer,Completed,VIP,Store,pcs
39723,536366,8.0,37.73,United Kingdom,2026-03-22,94689,Chair,Electronics,Chair,301.84,301.84,25.36,157.17,137.52,East,Bank Transfer,Pending,Returning,Online,pcs
77606,536367,2.0,204.45,Norway,2025-08-04,35545,Desk,Electronics,Desk,408.9,408.9,3.73,239.74,131.4,East,Bank Transfer,Returned,Returning,Online,pcs
46465,536368,1.0,181.88,Australia,2026-03-08,12500,Laptop Bag,Beauty,Laptop Bag,181.88,181.88,25.33,123.71,63.05,South,Card,Completed,New,Marketplace,pcs
80617,536369,8.0,26.18,Spain,2025-03-08,47256,Desk,Grocery,Desk,209.44,209.44,18.56,136.16,97.54,West,Card,Completed,Returning,Store,pcs
61725,536370,4.0,135.7,United Kingdom,2025-01-25,16097,Desk,Grocery,Desk,542.8,542.8,18.99,392.6,217.92,North,UPI,Completed,New,Store,pcs
21456,536371,6.0,123.9,France,2026-03-28,34839,Desk,Furniture,Desk,743.4,743.4,2.43,415.09,162.52,West,UPI,Completed,Returning,Store,pcs
55575,536372,9.0,49.17,Germany,2025-01-05,76588,Keyboard,Furniture,Keyboard,442.53,442.53,28.81,268.72,129.88,West,Bank Transfer,Completed,Returning,Marketplace,pcs
46637,536373,6.0,23.97,Portugal,2025-07-03,61685,Coffee,Home,Coffee,143.82,143.82,7.76,111.76,57.41,West,Bank Transfer,Completed,Returning,Online,pcs
60778,536374,1.0,14.03,Spain,2025-01-06,12630,Desk,Home,Desk,14.03,14.03,28.72,8.13,6.39,North,Cash,Pending,Returning,Online,pcs
62179,536375,2.0,141.95,United Kingdom,2025-10-27,81728,Chair,Electronics,Chair,283.9,283.9,9.96,122.64,73.49,North,UPI,Completed,Returning,Store,pcs
61271,536376,1.0,240.29,Norway,2025-06-20,55882,Monitor,Electronics,Monitor,240.29,240.29,27.7,171.46,120.52,North,Bank Transfer,Completed,Returning,Store,pcs
61474,536377,2.0,149.96,Belgium,2025-02-26,66487,Desk,Electronics,Desk,299.92,299.92,12.84,110.54,169.54,South,UPI,Completed,Returning,Marketplace,pcs
,,8.0,125.36,Portugal,2025-09-11,61660,Laptop Bag,Beauty,Laptop Bag,1002.88,1002.88,29.0,644.43,624.96,North,Bank Transfer,Completed,New,Marketplace,pcs
40098,536379,7.0,117.77,Australia,2026-03-26,51798,Chair,Beauty,Chair,824.39,824.39,16.82,578.38,312.63,East,Bank Transfer,Completed,New,Online,pcs
17778,536380,6.0,1.3,Norway,2026-04-03,30430,Mouse,Office,Mouse,7.8,7.8,26.39,5.71,3.18,East,UPI,Completed,New,Online,pcs
71877,536381,4.0,213.27,France,2026-04-26,36919,USB Cable,Beauty,USB Cable,853.08,853.08,7.87,655.25,455.66,West,UPI,Completed,VIP,Online,pcs
76822,536382,7.0,199.74,Netherlands,2026-02-27,39935,Coffee,Office,Coffee,1398.18,1398.18,24.14,895.44,605.21,South,Card,Completed,New,Marketplace,pcs
51060,536383,1.0,196.02,France,2026-01-22,68008,Desk,Beauty,Desk,196.02,196.02,24.11,90.94,90.41,East,UPI,Completed,Returning,Store,pcs
83832,536384,6.0,132.86,Germany,2025-03-04,51281,Keyboard,Electronics,Keyboard,797.16,797.16,15.43,351.48,269.5,West,Bank Transfer,Completed,Returning,Online,pcs
35536,536385,2.0,7.62,Portugal,2025-05-31,57470,Mouse,Grocery,Mouse,15.24,15.24,29.61,11.65,6.4,South,UPI,Completed,Returning,Online,pcs
74093,536386,5.0,243.4,Portugal,2026-01-25,58551,Webcam,Home,Webcam,1217.0,1217.0,3.48,668.31,339.47,West,Card,Completed,Returning,Store,pcs
69304,536387,2.0,28.49,Norway,2025-02-05,91737,Tea,Electronics,Tea,56.98,56.98,19.34,23.29,22.72,North,Card,Completed,VIP,Marketplace,pcs
46892,536388,3.0,56.26,Portugal,2025-05-08,46961,Webcam,Grocery,Webcam,168.78,168.78,11.85,66.44,75.23,North,UPI,Completed,Returning,Store,pcs
80576,536389,7.0,5.36,Norway,2025-07-08,82223,Desk,Grocery,Desk,37.52,37.52,21.0,17.65,20.57,West,Cash,Completed,New,Online,pcs
94864,536390,3.0,66.47,France,2025-03-11,52662,Coffee,Home,Coffee,199.41,199.41,21.82,157.14,49.29,South,Cash,Returned,Returning,Marketplace,pcs
33907,536391,4.0,30.84,France,2026-02-07,76281,Tea,Home,Tea,123.36,123.36,15.94,90.14,72.38,North,Bank Transfer,Completed,Returning,Store,pcs
12785,536392,6.0,154.34,United Kingdom,2025-09-30,52165,Mouse,Furniture,Mouse,926.04,926.04,14.79,395.8,462.13,North,Bank Transfer,Completed,Returning,Store,pcs
65792,536393,9.0,104.19,Portugal,2025-03-10,38505,USB Cable,Office,USB Cable,937.71,937.71,10.6,483.0,569.07,North,Card,Completed,Returning,Store,pcs
82263,536394,5.0,99.41,Germany,2026-01-01,37883,Monitor,Home,Monitor,497.05,497.05,18.16,174.02,155.2,East,Cash,Completed,Returning,Marketplace,pcs
19180,536395,5.0,212.84,Netherlands,2025-07-19,36317,Mouse,Furniture,Mouse,1064.2,1064.2,11.08,429.11,546.12,West,Cash,Completed,Returning,Store,pcs
64183,536396,9.0,105.17,Australia,2025-09-08,17979,Chair,Furniture,Chair,946.53,946.53,9.81,432.31,380.51,South,Card,Pending,New,Store,pcs
74489,536397,9.0,183.18,Norway,2026-02-27,25623,USB Cable,Beauty,USB Cable,1648.62,1648.62,8.63,1239.85,731.43,West,Cash,Pending,New,Store,pcs
13701,536398,8.0,40.99,Spain,2025-02-24,79934,Keyboard,Furniture,Keyboard,327.92,327.92,22.29,115.65,80.93,North,Card,Completed,Returning,Online,pcs
66371,536399,1.0,207.14,Belgium,2025-12-08,66375,Tea,Beauty,Tea,207.14,207.14,0.29,95.62,75.17,South,Card,Completed,Returning,Online,pcs
39915,536400,6.0,198.86,Belgium,2026-01-05,51401,Coffee,Grocery,Coffee,1193.16,1193.16,5.89,628.57,580.3,East,Cash,Completed,Returning,Store,pcs
21254,536401,9.0,82.04,Germany,2025-07-27,26593,Tea,Home,Tea,738.36,738.36,18.16,475.38,202.38,North,Cash,Completed,Returning,Store,pcs
44044,536402,1.0,-91.18,Belgium,2026-01-25,34014,Laptop Bag,Furniture,Laptop Bag,92.51,92.51,7.75,57.26,43.61,West,Bank Transfer,Completed,Returning,Marketplace,pcs
59746,536403,8.0,69.42,Germany,2025-10-31,15147,Chair,Furniture,Chair,555.36,555.36,4.77,235.03,140.41,South,Bank Transfer,Completed,New,Marketplace,pcs
